gss_code,leisure_density,wardname,leisurecount,fastfood_density,fastfoodcount,alcohol_density,alcoholcount,beverages_density,beveragescount,confectionery_density,confectionerycount,convenience_density,conveniencecount,departmentstore_density,departmentstorecount,farm_density,farmcount,greengrocer_density,greengrocercount,grocery_density,grocerycount,mall_density,mallcount,supermarket_density,supermarketcount,health_density,health_rate_parcent
E05000096,1.49E-06,Northwick Park,4,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,3.73E-07,1,2.24E-06,7.2
E05000097,1.26E-06,Preston,3,3.35E-06,8,4.19E-07,1,4.19E-07,1,4.19E-07,1,2.51E-06,6,4.19E-07,1,4.19E-07,1,4.19E-07,1,4.19E-07,1,4.19E-07,1,8.37E-07,2,2.93E-06,7.411764706
E05000098,1.55E-05,Queens Park,23,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,2.02E-06,3,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,4.71E-06,7,8.08E-06,13.71428571
E05000099,1.95E-06,Queensbury,4,2.93E-06,6,9.75E-07,2,9.75E-07,2,9.75E-07,2,2.93E-06,6,9.75E-07,2,9.75E-07,2,9.75E-07,2,9.75E-07,2,9.75E-07,2,1.46E-06,3,6.34E-06,13.72222222
E05000100,3.46E-06,Stonebridge,14,4.94E-07,2,2.47E-07,1,2.47E-07,1,2.47E-07,1,4.94E-07,2,2.47E-07,1,2.47E-07,1,2.47E-07,1,2.47E-07,1,2.47E-07,1,2.47E-07,1,1.48E-06,6.857142857
E05000101,2.35E-06,Sudbury,5,4.71E-07,1,4.71E-07,1,4.71E-07,1,4.71E-07,1,2.35E-06,5,4.71E-07,1,4.71E-07,1,4.71E-07,1,4.71E-07,1,4.71E-07,1,4.71E-07,1,2.82E-06,6.666666667
E05000102,3.62E-07,Tokyngton,1,2.54E-06,7,3.62E-07,1,3.62E-07,1,3.62E-07,1,3.62E-06,10,3.62E-07,1,3.62E-07,1,3.62E-07,1,3.62E-07,1,3.62E-07,1,1.09E-06,3,2.90E-06,8.4
E05000103,1.29E-06,Welsh Harp,3,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,4.31E-07,1,2.59E-06,7.2
E05000104,1.25E-06,Wembley Central,2,1.87E-06,3,6.23E-07,1,6.23E-07,1,6.23E-07,1,1.25E-06,2,6.23E-07,1,6.23E-07,1,6.23E-07,1,6.23E-07,1,6.23E-07,1,6.23E-07,1,3.74E-06,6.75
E05000105,7.75E-06,Willesden Green,12,6.46E-07,1,6.46E-07,1,6.46E-07,1,6.46E-07,1,1.94E-06,3,6.46E-07,1,6.46E-07,1,6.46E-07,1,6.46E-07,1,6.46E-07,1,6.46E-07,1,3.88E-06,6.857142857
E05000106,2.05E-07,Bickley,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,2.05E-07,1,1.23E-06,7.2
